Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0448487 (s)
190 MLA ||r(i)||/||b|| 5.5921368623925013e-03
191 MLA ||r(i)||/||b|| 5.5384359630596906e-03
192 MLA ||r(i)||/||b|| 5.4854749160799868e-03
193 MLA ||r(i)||/||b|| 5.4332401055500181e-03
194 MLA ||r(i)||/||b|| 5.3817183338039712e-03
195 MLA ||r(i)||/||b|| 5.3308967636442727e-03
196 MLA ||r(i)||/||b|| 5.2807630015218980e-03
197 MLA ||r(i)||/||b|| 5.2313050506256073e-03
198 MLA ||r(i)||/||b|| 5.1825111928498167e-03
199 MLA ||r(i)||/||b|| 5.1343700226170845e-03
200 MLA ||r(i)||/||b|| 5.0868705037733957e-03
201 MLA ||r(i)||/||b|| 5.0400019103348549e-03
202 MLA ||r(i)||/||b|| 4.9937538169342382e-03
203 MLA ||r(i)||/||b|| 4.9481159501041727e-03
204 MLA ||r(i)||/||b|| 4.9030784338794115e-03
205 MLA ||r(i)||/||b|| 4.8586315183419410e-03
206 MLA ||r(i)||/||b|| 4.8147657990428609e-03
207 MLA ||r(i)||/||b|| 4.7714720273882216e-03
208 MLA ||r(i)||/||b|| 4.7287412289676867e-03
209 MLA ||r(i)||/||b|| 4.6865644967245806e-03
210 MLA ||r(i)||/||b|| 4.6449332452087114e-03
211 MLA ||r(i)||/||b|| 4.6038390147547514e-03
212 MLA ||r(i)||/||b|| 4.5632736016312393e-03
213 MLA ||r(i)||/||b|| 4.5232288252426657e-03
214 MLA ||r(i)||/||b|| 4.4836968111394027e-03
215 MLA ||r(i)||/||b|| 4.4446697204427324e-03
216 MLA ||r(i)||/||b|| 4.4061399695644069e-03
217 MLA ||r(i)||/||b|| 4.3681000641696433e-03
218 MLA ||r(i)||/||b|| 4.3305426200866944e-03
219 MLA ||r(i)||/||b|| 4.2934604064312661e-03
220 MLA ||r(i)||/||b|| 4.2568463476393495e-03
221 MLA ||r(i)||/||b|| 4.2206934109012099e-03
222 MLA ||r(i)||/||b|| 4.1849947975401494e-03
223 MLA ||r(i)||/||b|| 4.1497437085536767e-03
224 MLA ||r(i)||/||b|| 4.1149335036910345e-03
225 MLA ||r(i)||/||b|| 4.0805576545694996e-03
226 MLA ||r(i)||/||b|| 4.0466096861003706e-03
227 MLA ||r(i)||/||b|| 4.0130832936119444e-03
228 MLA ||r(i)||/||b|| 3.9799721681441115e-03
229 MLA ||r(i)||/||b|| 3.9472701901712348e-03
230 MLA ||r(i)||/||b|| 3.9149712721835818e-03
231 MLA ||r(i)||/||b|| 3.8830694127109963e-03
232 MLA ||r(i)||/||b|| 3.8515587256672591e-03
233 MLA ||r(i)||/||b|| 3.8204333368456992e-03
234 MLA ||r(i)||/||b|| 3.7896875777648593e-03
235 MLA ||r(i)||/||b|| 3.7593157464607752e-03
236 MLA ||r(i)||/||b|| 3.7293122308071579e-03
237 MLA ||r(i)||/||b|| 3.6996714993104344e-03
238 MLA ||r(i)||/||b|| 3.6703881579574793e-03
239 MLA ||r(i)||/||b|| 3.6414567949006331e-03
240 MLA ||r(i)||/||b|| 3.6128720660744233e-03
241 MLA ||r(i)||/||b|| 3.5846288083635830e-03
242 MLA ||r(i)||/||b|| 3.5567218001942257e-03
243 MLA ||r(i)||/||b|| 3.5291459059916363e-03
244 MLA ||r(i)||/||b|| 3.5018961248561142e-03
245 MLA ||r(i)||/||b|| 3.4749674711372670e-03
246 MLA ||r(i)||/||b|| 3.4483549906017879e-03
247 MLA ||r(i)||/||b|| 3.4220538962906233e-03
248 MLA ||r(i)||/||b|| 3.3960592984698039e-03
249 MLA ||r(i)||/||b|| 3.3703665279304642e-03
250 MLA ||r(i)||/||b|| 3.3449708977449028e-03
251 MLA ||r(i)||/||b|| 3.3198677829938640e-03
252 MLA ||r(i)||/||b|| 3.2950526255752315e-03
253 MLA ||r(i)||/||b|| 3.2705209419327747e-03
254 MLA ||r(i)||/||b|| 3.2462682527013330e-03
255 MLA ||r(i)||/||b|| 3.2222902230483355e-03
256 MLA ||r(i)||/||b|| 3.1985824821682348e-03
257 MLA ||r(i)||/||b|| 3.1751407661766867e-03
258 MLA ||r(i)||/||b|| 3.1519608944290249e-03
259 MLA ||r(i)||/||b|| 3.1290386422285752e-03
260 MLA ||r(i)||/||b|| 3.1063699583626708e-03
261 MLA ||r(i)||/||b|| 3.0839507784379671e-03
262 MLA ||r(i)||/||b|| 3.0617770548752726e-03
263 MLA ||r(i)||/||b|| 3.0398449363982982e-03
264 MLA ||r(i)||/||b|| 3.0181504792614411e-03
265 MLA ||r(i)||/||b|| 2.9966898362917896e-03
266 MLA ||r(i)||/||b|| 2.9754592432007787e-03
267 MLA ||r(i)||/||b|| 2.9544549803665748e-03
268 MLA ||r(i)||/||b|| 2.9336733777965227e-03
269 MLA ||r(i)||/||b|| 2.9131107717446599e-03
270 MLA ||r(i)||/||b|| 2.8927636653486356e-03
271 MLA ||r(i)||/||b|| 2.8726284322762247e-03
272 MLA ||r(i)||/||b|| 2.8527016916394372e-03
273 MLA ||r(i)||/||b|| 2.8329800002106901e-03
274 MLA ||r(i)||/||b|| 2.8134600080590958e-03
275 MLA ||r(i)||/||b|| 2.7941383539547841e-03
276 MLA ||r(i)||/||b|| 2.7750118258477617e-03
