Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.220137 (s)
365 MLA ||r(i)||/||b|| 1.9156475104757386e-03
366 MLA ||r(i)||/||b|| 1.9093362931419840e-03
367 MLA ||r(i)||/||b|| 1.9030669981175469e-03
368 MLA ||r(i)||/||b|| 1.8968390379807678e-03
369 MLA ||r(i)||/||b|| 1.8906520210453328e-03
370 MLA ||r(i)||/||b|| 1.8845052248821150e-03
371 MLA ||r(i)||/||b|| 1.8783983790348915e-03
372 MLA ||r(i)||/||b|| 1.8723311529219378e-03
373 MLA ||r(i)||/||b|| 1.8663031109389862e-03
374 MLA ||r(i)||/||b|| 1.8603138899531873e-03
375 MLA ||r(i)||/||b|| 1.8543629297349399e-03
376 MLA ||r(i)||/||b|| 1.8484499761511866e-03
377 MLA ||r(i)||/||b|| 1.8425745782709503e-03
378 MLA ||r(i)||/||b|| 1.8367363390782341e-03
379 MLA ||r(i)||/||b|| 1.8309348821739775e-03
380 MLA ||r(i)||/||b|| 3.4716119092946017e-03
381 MLA ||r(i)||/||b|| 2.8756445677440164e-03
382 MLA ||r(i)||/||b|| 2.4059533515155343e-03
383 MLA ||r(i)||/||b|| 2.2099651614526277e-03
384 MLA ||r(i)||/||b|| 2.0578947364046168e-03
385 MLA ||r(i)||/||b|| 1.8968714505475060e-03
386 MLA ||r(i)||/||b|| 1.8110211012897694e-03
387 MLA ||r(i)||/||b|| 1.7952010268968161e-03
388 MLA ||r(i)||/||b|| 1.7917199756263933e-03
389 MLA ||r(i)||/||b|| 1.7807420841077764e-03
390 MLA ||r(i)||/||b|| 1.7716311579527371e-03
391 MLA ||r(i)||/||b|| 1.7692370072809401e-03
392 MLA ||r(i)||/||b|| 1.7694581686055078e-03
393 MLA ||r(i)||/||b|| 1.7683530341767709e-03
394 MLA ||r(i)||/||b|| 1.7653683089362561e-03
395 MLA ||r(i)||/||b|| 1.7612732842755929e-03
396 MLA ||r(i)||/||b|| 1.7564639358847334e-03
397 MLA ||r(i)||/||b|| 1.7509378459961483e-03
398 MLA ||r(i)||/||b|| 1.7447292730338245e-03
399 MLA ||r(i)||/||b|| 1.7380309259659560e-03
400 MLA ||r(i)||/||b|| 1.7310846697933470e-03
401 MLA ||r(i)||/||b|| 1.7240864069100960e-03
402 MLA ||r(i)||/||b|| 1.7171707358153748e-03
403 MLA ||r(i)||/||b|| 1.7104278739789240e-03
404 MLA ||r(i)||/||b|| 1.7039140024090989e-03
405 MLA ||r(i)||/||b|| 1.6976558985956618e-03
406 MLA ||r(i)||/||b|| 1.6916557133089397e-03
407 MLA ||r(i)||/||b|| 1.6858984108719811e-03
408 MLA ||r(i)||/||b|| 1.6803592501692666e-03
409 MLA ||r(i)||/||b|| 1.6750093424087024e-03
410 MLA ||r(i)||/||b|| 1.6698187428936407e-03
411 MLA ||r(i)||/||b|| 1.6647587166468167e-03
412 MLA ||r(i)||/||b|| 1.6598034017884277e-03
413 MLA ||r(i)||/||b|| 1.6549301766930855e-03
414 MLA ||r(i)||/||b|| 1.6501207254752666e-03
415 MLA ||r(i)||/||b|| 1.6453604686602586e-03
416 MLA ||r(i)||/||b|| 1.6406388069374130e-03
417 MLA ||r(i)||/||b|| 1.6359485938062953e-03
418 MLA ||r(i)||/||b|| 1.6312856255118109e-03
419 MLA ||r(i)||/||b|| 1.6266481954526682e-03
420 MLA ||r(i)||/||b|| 1.6220363004484780e-03
421 MLA ||r(i)||/||b|| 1.6174513028013281e-03
422 MLA ||r(i)||/||b|| 1.6128954093764945e-03
423 MLA ||r(i)||/||b|| 1.6083710735747170e-03
424 MLA ||r(i)||/||b|| 1.6038806856221942e-03
425 MLA ||r(i)||/||b|| 1.5994264102118280e-03
