Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0516977 (s)
256 MLA ||r(i)||/||b|| 2.0945019012299682e-03
257 MLA ||r(i)||/||b|| 2.0825808860477834e-03
258 MLA ||r(i)||/||b|| 2.0707667198658635e-03
259 MLA ||r(i)||/||b|| 2.0590583171334435e-03
260 MLA ||r(i)||/||b|| 2.0474545228872940e-03
261 MLA ||r(i)||/||b|| 2.0359542047406138e-03
262 MLA ||r(i)||/||b|| 2.0245563123797473e-03
263 MLA ||r(i)||/||b|| 2.0132597434720325e-03
264 MLA ||r(i)||/||b|| 2.0020634855870299e-03
265 MLA ||r(i)||/||b|| 1.9909664580284362e-03
266 MLA ||r(i)||/||b|| 1.9799676154031894e-03
267 MLA ||r(i)||/||b|| 1.9690659541211986e-03
268 MLA ||r(i)||/||b|| 1.9582592602745107e-03
269 MLA ||r(i)||/||b|| 1.9475505905512799e-03
270 MLA ||r(i)||/||b|| 1.9369340157431706e-03
271 MLA ||r(i)||/||b|| 1.9264110044293283e-03
272 MLA ||r(i)||/||b|| 1.9159803642639856e-03
273 MLA ||r(i)||/||b|| 1.9056408102603531e-03
274 MLA ||r(i)||/||b|| 1.8953914009993144e-03
275 MLA ||r(i)||/||b|| 1.8852312778612030e-03
276 MLA ||r(i)||/||b|| 1.8751595754721111e-03
277 MLA ||r(i)||/||b|| 1.8651740392881854e-03
278 MLA ||r(i)||/||b|| 1.8552783806886210e-03
279 MLA ||r(i)||/||b|| 1.8454656563257987e-03
280 MLA ||r(i)||/||b|| 1.8357361662690707e-03
281 MLA ||r(i)||/||b|| 1.8260961371497867e-03
282 MLA ||r(i)||/||b|| 1.8165342399986666e-03
283 MLA ||r(i)||/||b|| 1.8070551309009081e-03
284 MLA ||r(i)||/||b|| 1.7976574437496362e-03
285 MLA ||r(i)||/||b|| 1.7883396787866403e-03
286 MLA ||r(i)||/||b|| 1.7791009303843280e-03
287 MLA ||r(i)||/||b|| 1.7699405112045871e-03
288 MLA ||r(i)||/||b|| 1.7608576456299731e-03
289 MLA ||r(i)||/||b|| 1.7518515134631637e-03
290 MLA ||r(i)||/||b|| 1.7429212012387342e-03
291 MLA ||r(i)||/||b|| 1.7340658349861086e-03
292 MLA ||r(i)||/||b|| 1.7252844940823225e-03
293 MLA ||r(i)||/||b|| 1.7165763282942332e-03
294 MLA ||r(i)||/||b|| 1.7079404760472288e-03
295 MLA ||r(i)||/||b|| 1.6993761090693456e-03
296 MLA ||r(i)||/||b|| 1.6908824137916167e-03
297 MLA ||r(i)||/||b|| 1.6824585393924343e-03
298 MLA ||r(i)||/||b|| 1.6741036451014808e-03
299 MLA ||r(i)||/||b|| 1.6658169098376792e-03
300 MLA ||r(i)||/||b|| 1.6575975439566981e-03
301 MLA ||r(i)||/||b|| 1.6494447107004316e-03
302 MLA ||r(i)||/||b|| 1.6413576032607742e-03
303 MLA ||r(i)||/||b|| 1.6333354695610522e-03
304 MLA ||r(i)||/||b|| 1.6253774647925615e-03
305 MLA ||r(i)||/||b|| 1.6174828232840984e-03
306 MLA ||r(i)||/||b|| 1.6096507500979751e-03
307 MLA ||r(i)||/||b|| 1.6018805057698864e-03
308 MLA ||r(i)||/||b|| 1.5941711155348004e-03
309 MLA ||r(i)||/||b|| 1.5865224311649604e-03
310 MLA ||r(i)||/||b|| 1.5789328599170364e-03
311 MLA ||r(i)||/||b|| 1.5714022030987741e-03
312 MLA ||r(i)||/||b|| 1.5639284856807903e-03
313 MLA ||r(i)||/||b|| 1.5565152615765780e-03
314 MLA ||r(i)||/||b|| 1.5491553512899893e-03
315 MLA ||r(i)||/||b|| 1.5418523355543792e-03
316 MLA ||r(i)||/||b|| 1.5346048724448548e-03
317 MLA ||r(i)||/||b|| 1.5274116867779310e-03
318 MLA ||r(i)||/||b|| 1.5202719309912922e-03
319 MLA ||r(i)||/||b|| 1.5131851520863839e-03
320 MLA ||r(i)||/||b|| 1.5061507417813522e-03
321 MLA ||r(i)||/||b|| 1.4991680406925010e-03
322 MLA ||r(i)||/||b|| 1.4922363944007094e-03
323 MLA ||r(i)||/||b|| 1.4853550899162600e-03
324 MLA ||r(i)||/||b|| 1.4785234935110381e-03
325 MLA ||r(i)||/||b|| 1.4717409192459864e-03
326 MLA ||r(i)||/||b|| 1.4650067105401814e-03
327 MLA ||r(i)||/||b|| 1.4583203092066229e-03
328 MLA ||r(i)||/||b|| 1.4516810472909832e-03
329 MLA ||r(i)||/||b|| 1.4450882909497111e-03
330 MLA ||r(i)||/||b|| 1.4385414524620524e-03
331 MLA ||r(i)||/||b|| 1.4320399450101571e-03
332 MLA ||r(i)||/||b|| 1.4255831695815439e-03
333 MLA ||r(i)||/||b|| 1.4191705273006471e-03
334 MLA ||r(i)||/||b|| 1.4128014742736381e-03
335 MLA ||r(i)||/||b|| 1.4064753949423307e-03
336 MLA ||r(i)||/||b|| 1.4001918135555676e-03
337 MLA ||r(i)||/||b|| 1.3939500903599885e-03
338 MLA ||r(i)||/||b|| 1.3877497420928476e-03
339 MLA ||r(i)||/||b|| 1.3815902154053373e-03
340 MLA ||r(i)||/||b|| 1.3754709668311691e-03
341 MLA ||r(i)||/||b|| 1.3693915233436108e-03
342 MLA ||r(i)||/||b|| 1.3633513529605560e-03
343 MLA ||r(i)||/||b|| 1.3573499389508514e-03
344 MLA ||r(i)||/||b|| 1.3513868041086954e-03
345 MLA ||r(i)||/||b|| 1.3454614682104739e-03
346 MLA ||r(i)||/||b|| 1.3395734672425647e-03
347 MLA ||r(i)||/||b|| 1.3337223001122112e-03
348 MLA ||r(i)||/||b|| 1.3279075193480248e-03
349 MLA ||r(i)||/||b|| 1.3221286724258282e-03
350 MLA ||r(i)||/||b|| 1.3163853232467636e-03
351 MLA ||r(i)||/||b|| 1.3106769994064591e-03
352 MLA ||r(i)||/||b|| 1.3050033281779775e-03
353 MLA ||r(i)||/||b|| 1.2993638307797343e-03
354 MLA ||r(i)||/||b|| 1.2937581451216344e-03
355 MLA ||r(i)||/||b|| 1.2881858380419220e-03
356 MLA ||r(i)||/||b|| 1.2826464903917868e-03
357 MLA ||r(i)||/||b|| 1.2771397519358858e-03
358 MLA ||r(i)||/||b|| 1.2716652028459331e-03
359 MLA ||r(i)||/||b|| 1.2662224819278160e-03
360 MLA ||r(i)||/||b|| 1.2608112097818134e-03
361 MLA ||r(i)||/||b|| 1.2554310473918142e-03
