Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.190178 (s)
258 MLA ||r(i)||/||b|| 7.5273104013552465e-03
259 MLA ||r(i)||/||b|| 7.4562015504038241e-03
260 MLA ||r(i)||/||b|| 7.3861316444443180e-03
261 MLA ||r(i)||/||b|| 7.3170851474828203e-03
262 MLA ||r(i)||/||b|| 7.2490470571819976e-03
263 MLA ||r(i)||/||b|| 7.1820021375485826e-03
264 MLA ||r(i)||/||b|| 7.1159355345549362e-03
265 MLA ||r(i)||/||b|| 7.0508326095689083e-03
266 MLA ||r(i)||/||b|| 6.9866786122261991e-03
267 MLA ||r(i)||/||b|| 6.9234591641184973e-03
268 MLA ||r(i)||/||b|| 6.8611599732965444e-03
269 MLA ||r(i)||/||b|| 6.7997669434280029e-03
270 MLA ||r(i)||/||b|| 6.7392661993557566e-03
271 MLA ||r(i)||/||b|| 6.6796438463521055e-03
272 MLA ||r(i)||/||b|| 6.6208863926928256e-03
273 MLA ||r(i)||/||b|| 6.5629803821991043e-03
274 MLA ||r(i)||/||b|| 6.5059124721268159e-03
275 MLA ||r(i)||/||b|| 6.4496696974212916e-03
276 MLA ||r(i)||/||b|| 6.3942390772654600e-03
277 MLA ||r(i)||/||b|| 6.3396078330093175e-03
278 MLA ||r(i)||/||b|| 6.2857633129522880e-03
279 MLA ||r(i)||/||b|| 6.2326931369769490e-03
280 MLA ||r(i)||/||b|| 6.1803850724816691e-03
281 MLA ||r(i)||/||b|| 6.1288269326026570e-03
282 MLA ||r(i)||/||b|| 6.0780067833762670e-03
283 MLA ||r(i)||/||b|| 6.0279128710997217e-03
284 MLA ||r(i)||/||b|| 5.9785335009732337e-03
285 MLA ||r(i)||/||b|| 5.9298572940395672e-03
286 MLA ||r(i)||/||b|| 5.8818728988409485e-03
287 MLA ||r(i)||/||b|| 5.8345691712469779e-03
288 MLA ||r(i)||/||b|| 5.7879351702434887e-03
289 MLA ||r(i)||/||b|| 5.7419599448430420e-03
