Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.84187 (s)
214 MLA ||r(i)||/||b|| 6.0219467404582554e-02
215 MLA ||r(i)||/||b|| 5.8805891289200780e-02
216 MLA ||r(i)||/||b|| 5.7424929970082077e-02
217 MLA ||r(i)||/||b|| 5.6075847492811706e-02
218 MLA ||r(i)||/||b|| 5.4757923497660989e-02
219 MLA ||r(i)||/||b|| 5.3470454214373402e-02
220 MLA ||r(i)||/||b|| 5.2212751000983673e-02
221 MLA ||r(i)||/||b|| 5.0984140341436675e-02
222 MLA ||r(i)||/||b|| 4.9783963677941655e-02
223 MLA ||r(i)||/||b|| 4.8611577269164374e-02
224 MLA ||r(i)||/||b|| 4.7466351297975863e-02
225 MLA ||r(i)||/||b|| 4.6347669784171680e-02
226 MLA ||r(i)||/||b|| 4.5254930622582824e-02
227 MLA ||r(i)||/||b|| 4.4187544836887353e-02
228 MLA ||r(i)||/||b|| 4.3144936763371847e-02
229 MLA ||r(i)||/||b|| 4.2126543117532264e-02
230 MLA ||r(i)||/||b|| 4.1131813054597517e-02
231 MLA ||r(i)||/||b|| 4.0160208468555017e-02
232 MLA ||r(i)||/||b|| 3.9211202742354415e-02
233 MLA ||r(i)||/||b|| 3.8284280980132653e-02
234 MLA ||r(i)||/||b|| 3.7378939864054446e-02
235 MLA ||r(i)||/||b|| 3.6494687206752092e-02
236 MLA ||r(i)||/||b|| 3.5631041745438755e-02
237 MLA ||r(i)||/||b|| 3.4787532775220960e-02
238 MLA ||r(i)||/||b|| 3.3963700252811146e-02
239 MLA ||r(i)||/||b|| 3.3159094425702099e-02
240 MLA ||r(i)||/||b|| 3.2373275273687989e-02
241 MLA ||r(i)||/||b|| 3.1605812838103521e-02
242 MLA ||r(i)||/||b|| 3.0856286658231088e-02
243 MLA ||r(i)||/||b|| 3.0124285662156525e-02
244 MLA ||r(i)||/||b|| 2.9409408147380318e-02
245 MLA ||r(i)||/||b|| 2.8711260972696970e-02
246 MLA ||r(i)||/||b|| 2.8029460138414185e-02
247 MLA ||r(i)||/||b|| 2.7363630177665760e-02
248 MLA ||r(i)||/||b|| 2.6713403939465953e-02
249 MLA ||r(i)||/||b|| 2.6078422599639762e-02
250 MLA ||r(i)||/||b|| 2.5458335240084434e-02
251 MLA ||r(i)||/||b|| 2.4852798974432207e-02
252 MLA ||r(i)||/||b|| 2.4261478564204197e-02
253 MLA ||r(i)||/||b|| 2.3684046248039565e-02
254 MLA ||r(i)||/||b|| 2.3120181712186480e-02
255 MLA ||r(i)||/||b|| 2.2569571732735945e-02
256 MLA ||r(i)||/||b|| 2.2031910425443720e-02
257 MLA ||r(i)||/||b|| 2.1506898560160709e-02
258 MLA ||r(i)||/||b|| 2.0994243519176819e-02
259 MLA ||r(i)||/||b|| 2.0493659709824009e-02
260 MLA ||r(i)||/||b|| 2.0004867587336335e-02
261 MLA ||r(i)||/||b|| 1.9527594154062161e-02
262 MLA ||r(i)||/||b|| 1.9061572497442000e-02
263 MLA ||r(i)||/||b|| 1.8606541690595963e-02
264 MLA ||r(i)||/||b|| 1.8162247008619549e-02
265 MLA ||r(i)||/||b|| 1.7728439087925991e-02
266 MLA ||r(i)||/||b|| 1.7304874511023922e-02
267 MLA ||r(i)||/||b|| 1.6891315270938456e-02
268 MLA ||r(i)||/||b|| 1.6487528887716672e-02
269 MLA ||r(i)||/||b|| 1.6093287956191284e-02
270 MLA ||r(i)||/||b|| 1.5708370270650949e-02
271 MLA ||r(i)||/||b|| 1.5332558995087519e-02
272 MLA ||r(i)||/||b|| 1.4965641959635156e-02
273 MLA ||r(i)||/||b|| 1.4607411679584579e-02
274 MLA ||r(i)||/||b|| 1.4257665883992883e-02
275 MLA ||r(i)||/||b|| 1.3916206419735932e-02
276 MLA ||r(i)||/||b|| 1.3582839985041855e-02
277 MLA ||r(i)||/||b|| 1.3257377536327535e-02
278 MLA ||r(i)||/||b|| 1.2939634348567989e-02
279 MLA ||r(i)||/||b|| 1.2629430108101476e-02
280 MLA ||r(i)||/||b|| 1.2326588453776030e-02
281 MLA ||r(i)||/||b|| 1.2030937031010724e-02
282 MLA ||r(i)||/||b|| 1.1742307642224238e-02
283 MLA ||r(i)||/||b|| 1.1460535761853480e-02
284 MLA ||r(i)||/||b|| 1.1185460712901430e-02
285 MLA ||r(i)||/||b|| 1.0916925546947804e-02
286 MLA ||r(i)||/||b|| 1.0654776762863315e-02
287 MLA ||r(i)||/||b|| 1.0398864664900299e-02
288 MLA ||r(i)||/||b|| 1.0149042747554416e-02
289 MLA ||r(i)||/||b|| 9.9051679170275436e-03
290 MLA ||r(i)||/||b|| 9.6671006083507739e-03
291 MLA ||r(i)||/||b|| 9.4347042047071960e-03
292 MLA ||r(i)||/||b|| 9.2078454084228486e-03
293 MLA ||r(i)||/||b|| 8.9863938923631561e-03
294 MLA ||r(i)||/||b|| 8.7702223635621451e-03
295 MLA ||r(i)||/||b|| 8.5592064153005992e-03
296 MLA ||r(i)||/||b|| 8.3532248075552477e-03
297 MLA ||r(i)||/||b|| 8.1521587187835167e-03
298 MLA ||r(i)||/||b|| 7.9558922486142585e-03
299 MLA ||r(i)||/||b|| 7.7643122754712584e-03
300 MLA ||r(i)||/||b|| 7.5773080861700577e-03
301 MLA ||r(i)||/||b|| 7.3947718860079342e-03
302 MLA ||r(i)||/||b|| 7.2165980473912960e-03
303 MLA ||r(i)||/||b|| 7.0426834914037052e-03
304 MLA ||r(i)||/||b|| 6.8729275257692225e-03
305 MLA ||r(i)||/||b|| 6.7072318149947151e-03
306 MLA ||r(i)||/||b|| 6.5455004941902340e-03
307 MLA ||r(i)||/||b|| 6.3876394922954037e-03
308 MLA ||r(i)||/||b|| 6.2335573684840885e-03
309 MLA ||r(i)||/||b|| 6.0831646432414994e-03
310 MLA ||r(i)||/||b|| 5.9363738259523525e-03
311 MLA ||r(i)||/||b|| 5.7930995385321602e-03
312 MLA ||r(i)||/||b|| 5.6532586120663043e-03
313 MLA ||r(i)||/||b|| 5.5167693885110353e-03
314 MLA ||r(i)||/||b|| 5.3835524956725167e-03
315 MLA ||r(i)||/||b|| 5.2535302513503496e-03
316 MLA ||r(i)||/||b|| 5.1266267419699651e-03
317 MLA ||r(i)||/||b|| 5.0027680885956528e-03
318 MLA ||r(i)||/||b|| 4.8818817216187433e-03
319 MLA ||r(i)||/||b|| 4.7638970929217124e-03
320 MLA ||r(i)||/||b|| 4.6487452939217751e-03
321 MLA ||r(i)||/||b|| 4.5363589077073640e-03
322 MLA ||r(i)||/||b|| 4.4266720642355956e-03
323 MLA ||r(i)||/||b|| 4.3196205043800930e-03
324 MLA ||r(i)||/||b|| 4.2151417128829501e-03
325 MLA ||r(i)||/||b|| 4.1131742253554650e-03
326 MLA ||r(i)||/||b|| 4.0136583827304591e-03
327 MLA ||r(i)||/||b|| 3.9165355785847665e-03
328 MLA ||r(i)||/||b|| 3.8217489182588750e-03
329 MLA ||r(i)||/||b|| 3.7292425661380395e-03
330 MLA ||r(i)||/||b|| 3.6389623144079761e-03
331 MLA ||r(i)||/||b|| 3.5508548893125403e-03
332 MLA ||r(i)||/||b|| 3.4648685722099078e-03
333 MLA ||r(i)||/||b|| 3.3809525999879621e-03
334 MLA ||r(i)||/||b|| 3.2990576294944403e-03
335 MLA ||r(i)||/||b|| 3.2191353860035552e-03
336 MLA ||r(i)||/||b|| 3.1411386979742170e-03
337 MLA ||r(i)||/||b|| 3.0650216299982374e-03
338 MLA ||r(i)||/||b|| 2.9907390914095571e-03
339 MLA ||r(i)||/||b|| 2.9182472884279370e-03
340 MLA ||r(i)||/||b|| 2.8475034468907817e-03
341 MLA ||r(i)||/||b|| 2.7784656071194436e-03
342 MLA ||r(i)||/||b|| 2.7110931055605060e-03
343 MLA ||r(i)||/||b|| 2.6453459139714813e-03
344 MLA ||r(i)||/||b|| 2.5811852252819404e-03
345 MLA ||r(i)||/||b|| 2.5185730023544522e-03
346 MLA ||r(i)||/||b|| 2.4574721623468903e-03
347 MLA ||r(i)||/||b|| 2.3978464166131246e-03
348 MLA ||r(i)||/||b|| 2.3396605390367934e-03
349 MLA ||r(i)||/||b|| 2.2828798234455754e-03
350 MLA ||r(i)||/||b|| 2.2274707646162471e-03
351 MLA ||r(i)||/||b|| 2.1734002686878734e-03
352 MLA ||r(i)||/||b|| 2.1206364395892426e-03
353 MLA ||r(i)||/||b|| 2.0691477591769248e-03
354 MLA ||r(i)||/||b|| 2.0189036744737744e-03
355 MLA ||r(i)||/||b|| 1.9698741879441190e-03
356 MLA ||r(i)||/||b|| 1.9220302226287795e-03
357 MLA ||r(i)||/||b|| 1.8753433228716520e-03
358 MLA ||r(i)||/||b|| 1.8297856340800012e-03
359 MLA ||r(i)||/||b|| 1.7853300384739373e-03
360 MLA ||r(i)||/||b|| 1.7419500364321571e-03
361 MLA ||r(i)||/||b|| 1.6996197998134972e-03
362 MLA ||r(i)||/||b|| 1.6583139912273079e-03
363 MLA ||r(i)||/||b|| 1.6180080252600486e-03
364 MLA ||r(i)||/||b|| 1.5786778219423335e-03
365 MLA ||r(i)||/||b|| 1.5403000755600130e-03
366 MLA ||r(i)||/||b|| 1.5028515321992314e-03
367 MLA ||r(i)||/||b|| 1.4663100391818934e-03
368 MLA ||r(i)||/||b|| 1.4306537051921864e-03
369 MLA ||r(i)||/||b|| 1.3958612631851674e-03
370 MLA ||r(i)||/||b|| 1.3619118074589868e-03
371 MLA ||r(i)||/||b|| 1.3287850053582916e-03
372 MLA ||r(i)||/||b|| 1.2964611066024043e-03
373 MLA ||r(i)||/||b|| 1.2649206900323881e-03
374 MLA ||r(i)||/||b|| 1.2341450146001682e-03
375 MLA ||r(i)||/||b|| 1.2041155147935001e-03
376 MLA ||r(i)||/||b|| 1.1748141621806872e-03
377 MLA ||r(i)||/||b|| 1.1462234405059805e-03
378 MLA ||r(i)||/||b|| 1.1183262800217356e-03
379 MLA ||r(i)||/||b|| 1.0911058292814523e-03
380 MLA ||r(i)||/||b|| 1.0645457611965479e-03
381 MLA ||r(i)||/||b|| 1.0386302376433382e-03
382 MLA ||r(i)||/||b|| 1.0133435345868397e-03
383 MLA ||r(i)||/||b|| 9.8867060736666248e-04
384 MLA ||r(i)||/||b|| 9.6459653857638267e-04
385 MLA ||r(i)||/||b|| 9.4110686304996465e-04
386 MLA ||r(i)||/||b|| 9.1818753389797715e-04
387 MLA ||r(i)||/||b|| 8.9582475070331996e-04
388 MLA ||r(i)||/||b|| 8.7400506564164118e-04
389 MLA ||r(i)||/||b|| 8.5271520645108657e-04
390 MLA ||r(i)||/||b|| 8.3194249322564285e-04
391 MLA ||r(i)||/||b|| 8.1167443715736529e-04
392 MLA ||r(i)||/||b|| 7.9189881813488186e-04
393 MLA ||r(i)||/||b|| 7.7260367500493613e-04
394 MLA ||r(i)||/||b|| 7.5377735759214249e-04
395 MLA ||r(i)||/||b|| 7.3540859784486249e-04
396 MLA ||r(i)||/||b|| 7.1748630186697882e-04
397 MLA ||r(i)||/||b|| 6.9999972526183082e-04
398 MLA ||r(i)||/||b|| 6.8293811958855056e-04
399 MLA ||r(i)||/||b|| 6.6629136463950333e-04
400 MLA ||r(i)||/||b|| 6.5004941361835396e-04
401 MLA ||r(i)||/||b|| 6.3420242458116975e-04
402 MLA ||r(i)||/||b|| 6.1874084814473066e-04
403 MLA ||r(i)||/||b|| 6.0365531124116504e-04
404 MLA ||r(i)||/||b|| 5.8893666755802261e-04
405 MLA ||r(i)||/||b|| 5.7457611735791672e-04
406 MLA ||r(i)||/||b|| 5.6056494551281696e-04
407 MLA ||r(i)||/||b|| 5.4689458848306428e-04
408 MLA ||r(i)||/||b|| 5.3355699141900714e-04
409 MLA ||r(i)||/||b|| 5.2054388260146993e-04
410 MLA ||r(i)||/||b|| 5.0784755303924013e-04
411 MLA ||r(i)||/||b|| 4.9546015148051756e-04
412 MLA ||r(i)||/||b|| 4.8337431024076782e-04
413 MLA ||r(i)||/||b|| 4.7158263992347934e-04
414 MLA ||r(i)||/||b|| 4.6007812522618180e-04
415 MLA ||r(i)||/||b|| 4.4885362407434155e-04
416 MLA ||r(i)||/||b|| 4.3790247581953671e-04
417 MLA ||r(i)||/||b|| 4.2721806642579611e-04
418 MLA ||r(i)||/||b|| 4.1679379207407510e-04
419 MLA ||r(i)||/||b|| 4.0662341928348337e-04
420 MLA ||r(i)||/||b|| 3.9670070914712800e-04
421 MLA ||r(i)||/||b|| 3.8701976652800768e-04
422 MLA ||r(i)||/||b|| 3.7757461166827174e-04
423 MLA ||r(i)||/||b|| 3.6835959675734375e-04
424 MLA ||r(i)||/||b|| 3.5936908004057785e-04
425 MLA ||r(i)||/||b|| 3.5059760858031452e-04
