Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.838865 (s)
296 MLA ||r(i)||/||b|| 3.1400433543330090e-03
297 MLA ||r(i)||/||b|| 3.0587213401020589e-03
298 MLA ||r(i)||/||b|| 2.9795000755899223e-03
299 MLA ||r(i)||/||b|| 2.9023254111083031e-03
300 MLA ||r(i)||/||b|| 2.8271448737988841e-03
301 MLA ||r(i)||/||b|| 2.7539070778625570e-03
302 MLA ||r(i)||/||b|| 2.6825620389343751e-03
303 MLA ||r(i)||/||b|| 2.6130611012675723e-03
304 MLA ||r(i)||/||b|| 2.5453568985935701e-03
305 MLA ||r(i)||/||b|| 2.4794030176612889e-03
306 MLA ||r(i)||/||b|| 2.4151544067810161e-03
307 MLA ||r(i)||/||b|| 2.3525673657014022e-03
308 MLA ||r(i)||/||b|| 2.2915989212619250e-03
309 MLA ||r(i)||/||b|| 2.2322073987599729e-03
310 MLA ||r(i)||/||b|| 2.1743522491471704e-03
311 MLA ||r(i)||/||b|| 2.1179937946036466e-03
312 MLA ||r(i)||/||b|| 2.0630935850198323e-03
313 MLA ||r(i)||/||b|| 2.0096138816802348e-03
314 MLA ||r(i)||/||b|| 1.9575181593286207e-03
315 MLA ||r(i)||/||b|| 1.9067706768253689e-03
316 MLA ||r(i)||/||b|| 1.8573367231491515e-03
317 MLA ||r(i)||/||b|| 1.8091824922231714e-03
318 MLA ||r(i)||/||b|| 1.7622747584527967e-03
319 MLA ||r(i)||/||b|| 1.7165814591340977e-03
320 MLA ||r(i)||/||b|| 1.6720713006377610e-03
321 MLA ||r(i)||/||b|| 1.6287137358115213e-03
322 MLA ||r(i)||/||b|| 1.5864789437657618e-03
323 MLA ||r(i)||/||b|| 1.5453380111712768e-03
324 MLA ||r(i)||/||b|| 1.5052626655393693e-03
325 MLA ||r(i)||/||b|| 1.4662253759906156e-03
326 MLA ||r(i)||/||b|| 1.4281993790640182e-03
327 MLA ||r(i)||/||b|| 1.3911584870012863e-03
328 MLA ||r(i)||/||b|| 1.3550772305580213e-03
329 MLA ||r(i)||/||b|| 1.3199308920951425e-03
330 MLA ||r(i)||/||b|| 1.2856952979027822e-03
331 MLA ||r(i)||/||b|| 1.2523468810679767e-03
332 MLA ||r(i)||/||b|| 1.2198627146004727e-03
333 MLA ||r(i)||/||b|| 1.1882204952574525e-03
334 MLA ||r(i)||/||b|| 1.1573983175027602e-03
335 MLA ||r(i)||/||b|| 1.1273751744071909e-03
336 MLA ||r(i)||/||b|| 1.0981302462275829e-03
337 MLA ||r(i)||/||b|| 1.0696434332171730e-03
338 MLA ||r(i)||/||b|| 1.0418951805823092e-03
339 MLA ||r(i)||/||b|| 1.0148663948032432e-03
340 MLA ||r(i)||/||b|| 9.8853844258524532e-04
341 MLA ||r(i)||/||b|| 9.6289311252292298e-04
342 MLA ||r(i)||/||b|| 9.3791275813464453e-04
343 MLA ||r(i)||/||b|| 9.1358025008868294e-04
344 MLA ||r(i)||/||b|| 8.8987871775276107e-04
345 MLA ||r(i)||/||b|| 8.6679190538805056e-04
346 MLA ||r(i)||/||b|| 8.4430392548184234e-04
347 MLA ||r(i)||/||b|| 8.2239918052538232e-04
348 MLA ||r(i)||/||b|| 8.0106258630503258e-04
349 MLA ||r(i)||/||b|| 7.8027946191976181e-04
350 MLA ||r(i)||/||b|| 7.6003547966757383e-04
351 MLA ||r(i)||/||b|| 7.4031663407736167e-04
352 MLA ||r(i)||/||b|| 7.2110938071207704e-04
353 MLA ||r(i)||/||b|| 7.0240041539999614e-04
354 MLA ||r(i)||/||b|| 6.8417681909163338e-04
355 MLA ||r(i)||/||b|| 6.6642609509880483e-04
356 MLA ||r(i)||/||b|| 6.4913589526285648e-04
357 MLA ||r(i)||/||b|| 6.3229431282202061e-04
358 MLA ||r(i)||/||b|| 6.1588979318437224e-04
