Config file: ../input/config/mla_v_cycle-refine0.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 1506, matrix Column = 1506
matrix nz_allocated = 27747, matrix nz_used = 27747, matrix nz_unneeded = 0
vector Row = 1506
initial     || b ||_2 = 2.6501139470351753e+00
>>>>local_vec_size = 1506
>>>>~~~~ local_mat_m = 1506, local_mat_n = 1506
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 0 is 62, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0105965 (s)
217 MLA ||r(i)||/||b|| 4.0723153091945070e-06
218 MLA ||r(i)||/||b|| 4.0721650122502452e-06
219 MLA ||r(i)||/||b|| 4.0721632495527895e-06
220 MLA ||r(i)||/||b|| 4.0721699029386311e-06
221 MLA ||r(i)||/||b|| 4.0721546326611824e-06
222 MLA ||r(i)||/||b|| 4.0721555861864135e-06
223 MLA ||r(i)||/||b|| 4.0721465211207370e-06
224 MLA ||r(i)||/||b|| 4.0721521498525146e-06
225 MLA ||r(i)||/||b|| 4.0721582191266347e-06
226 MLA ||r(i)||/||b|| 4.0721604819826233e-06
227 MLA ||r(i)||/||b|| 4.0721635205977922e-06
228 MLA ||r(i)||/||b|| 4.0713972356810822e-06
229 MLA ||r(i)||/||b|| 4.0713859180081032e-06
230 MLA ||r(i)||/||b|| 4.0713850795173163e-06
231 MLA ||r(i)||/||b|| 4.0713887952739065e-06
232 MLA ||r(i)||/||b|| 4.0714054998283646e-06
233 MLA ||r(i)||/||b|| 4.0714245383944772e-06
234 MLA ||r(i)||/||b|| 4.0714138025749554e-06
235 MLA ||r(i)||/||b|| 4.0715737814778975e-06
236 MLA ||r(i)||/||b|| 4.0715839420192104e-06
237 MLA ||r(i)||/||b|| 4.0715804285152280e-06
238 MLA ||r(i)||/||b|| 4.0722448341965595e-06
239 MLA ||r(i)||/||b|| 4.0722396647827606e-06
240 MLA ||r(i)||/||b|| 4.0722170852782713e-06
241 MLA ||r(i)||/||b|| 4.0720096382525096e-06
242 MLA ||r(i)||/||b|| 4.0720084742688594e-06
243 MLA ||r(i)||/||b|| 4.0719754534221180e-06
244 MLA ||r(i)||/||b|| 4.0719739077005111e-06
245 MLA ||r(i)||/||b|| 4.0719690129045710e-06
246 MLA ||r(i)||/||b|| 4.0719317263957711e-06
247 MLA ||r(i)||/||b|| 4.0719272620859433e-06
248 MLA ||r(i)||/||b|| 4.0719366658421297e-06
249 MLA ||r(i)||/||b|| 4.0719367169642544e-06
250 MLA ||r(i)||/||b|| 4.0719393036400908e-06
251 MLA ||r(i)||/||b|| 4.0719486433463673e-06
252 MLA ||r(i)||/||b|| 4.0719143710065328e-06
253 MLA ||r(i)||/||b|| 4.0719111898674259e-06
254 MLA ||r(i)||/||b|| 4.0719423600504241e-06
255 MLA ||r(i)||/||b|| 4.0719524816553257e-06
256 MLA ||r(i)||/||b|| 4.0719520743827460e-06
257 MLA ||r(i)||/||b|| 4.0719500109205104e-06
258 MLA ||r(i)||/||b|| 4.0719514349619566e-06
259 MLA ||r(i)||/||b|| 4.0719495834144972e-06
260 MLA ||r(i)||/||b|| 4.0719492617010017e-06
261 MLA ||r(i)||/||b|| 4.0719475942122228e-06
262 MLA ||r(i)||/||b|| 4.0719468774081628e-06
263 MLA ||r(i)||/||b|| 4.0719465957576062e-06
264 MLA ||r(i)||/||b|| 4.0719475999807290e-06
265 MLA ||r(i)||/||b|| 4.0719471126022723e-06
266 MLA ||r(i)||/||b|| 4.0719464941477135e-06
267 MLA ||r(i)||/||b|| 4.0719474915456903e-06
268 MLA ||r(i)||/||b|| 4.0719513775086241e-06
269 MLA ||r(i)||/||b|| 4.0719524579366964e-06
270 MLA ||r(i)||/||b|| 4.0719398629324629e-06
271 MLA ||r(i)||/||b|| 4.0719369901956719e-06
272 MLA ||r(i)||/||b|| 4.0719379890866773e-06
273 MLA ||r(i)||/||b|| 4.0719376798163211e-06
274 MLA ||r(i)||/||b|| 4.0719304854253726e-06
275 MLA ||r(i)||/||b|| 4.0719142604738374e-06
276 MLA ||r(i)||/||b|| 4.0719163765417394e-06
277 MLA ||r(i)||/||b|| 4.0719154029369901e-06
278 MLA ||r(i)||/||b|| 4.0719163669680953e-06
279 MLA ||r(i)||/||b|| 4.0719134534782258e-06
280 MLA ||r(i)||/||b|| 4.0719125087013390e-06
281 MLA ||r(i)||/||b|| 4.0719154479909588e-06
282 MLA ||r(i)||/||b|| 4.0719169559302519e-06
283 MLA ||r(i)||/||b|| 4.0719911958493806e-06
284 MLA ||r(i)||/||b|| 4.0719945202312677e-06
285 MLA ||r(i)||/||b|| 4.0720005080424549e-06
286 MLA ||r(i)||/||b|| 4.0720016247870962e-06
287 MLA ||r(i)||/||b|| 4.0720038415261328e-06
288 MLA ||r(i)||/||b|| 4.0720150049436565e-06
289 MLA ||r(i)||/||b|| 4.0720158874225177e-06
290 MLA ||r(i)||/||b|| 4.0719550541973010e-06
291 MLA ||r(i)||/||b|| 4.0719527476293920e-06
292 MLA ||r(i)||/||b|| 4.0719705442783046e-06
293 MLA ||r(i)||/||b|| 4.0719693285082230e-06
294 MLA ||r(i)||/||b|| 4.0719570129249579e-06
295 MLA ||r(i)||/||b|| 4.0719538847906952e-06
296 MLA ||r(i)||/||b|| 4.0719550455726947e-06
297 MLA ||r(i)||/||b|| 4.0719526980581169e-06
298 MLA ||r(i)||/||b|| 4.0719505057995098e-06
299 MLA ||r(i)||/||b|| 4.0719471886890422e-06
300 MLA ||r(i)||/||b|| 4.0719456475301402e-06
301 MLA ||r(i)||/||b|| 4.0719452654102029e-06
302 MLA ||r(i)||/||b|| 4.0719426955206511e-06
303 MLA ||r(i)||/||b|| 4.0719413606458313e-06
304 MLA ||r(i)||/||b|| 4.0719344293750147e-06
305 MLA ||r(i)||/||b|| 4.0719342316904116e-06
306 MLA ||r(i)||/||b|| 4.0719355322978080e-06
307 MLA ||r(i)||/||b|| 4.0719340598526919e-06
308 MLA ||r(i)||/||b|| 4.0719357342504331e-06
309 MLA ||r(i)||/||b|| 4.0719343343070234e-06
310 MLA ||r(i)||/||b|| 4.0719445978901069e-06
311 MLA ||r(i)||/||b|| 4.0719455049449693e-06
312 MLA ||r(i)||/||b|| 4.0719444770660391e-06
313 MLA ||r(i)||/||b|| 4.0719445927584883e-06
314 MLA ||r(i)||/||b|| 4.0719460668707126e-06
315 MLA ||r(i)||/||b|| 4.0719685942468402e-06
316 MLA ||r(i)||/||b|| 4.0719642656280034e-06
317 MLA ||r(i)||/||b|| 4.0719521313506321e-06
318 MLA ||r(i)||/||b|| 4.0719514171678815e-06
319 MLA ||r(i)||/||b|| 4.0719213957025458e-06
320 MLA ||r(i)||/||b|| 4.0719215327982757e-06
321 MLA ||r(i)||/||b|| 4.0719370667749000e-06
322 MLA ||r(i)||/||b|| 4.0719372298552697e-06
323 MLA ||r(i)||/||b|| 4.0719376038350475e-06
324 MLA ||r(i)||/||b|| 4.0719374584652549e-06
325 MLA ||r(i)||/||b|| 4.0719361291417671e-06
326 MLA ||r(i)||/||b|| 4.0719322304869103e-06
327 MLA ||r(i)||/||b|| 4.0719339823255518e-06
328 MLA ||r(i)||/||b|| 4.0719342973650019e-06
329 MLA ||r(i)||/||b|| 4.0719327300880252e-06
330 MLA ||r(i)||/||b|| 4.0718880131055890e-06
331 MLA ||r(i)||/||b|| 4.0718878999305718e-06
332 MLA ||r(i)||/||b|| 4.0718876818452885e-06
333 MLA ||r(i)||/||b|| 4.0712378111015763e-06
334 MLA ||r(i)||/||b|| 4.0712439011783877e-06
335 MLA ||r(i)||/||b|| 4.0712418913479684e-06
336 MLA ||r(i)||/||b|| 4.0712827126730391e-06
337 MLA ||r(i)||/||b|| 4.0713896211425650e-06
338 MLA ||r(i)||/||b|| 4.0713907166431533e-06
339 MLA ||r(i)||/||b|| 4.0713929840886433e-06
340 MLA ||r(i)||/||b|| 4.0714173480314083e-06
341 MLA ||r(i)||/||b|| 4.0714232388217959e-06
342 MLA ||r(i)||/||b|| 4.0726914675439134e-06
343 MLA ||r(i)||/||b|| 4.0727035203616772e-06
344 MLA ||r(i)||/||b|| 4.0727117318286145e-06
345 MLA ||r(i)||/||b|| 4.0727111408908857e-06
346 MLA ||r(i)||/||b|| 4.0727105925719313e-06
347 MLA ||r(i)||/||b|| 4.0727109117527424e-06
348 MLA ||r(i)||/||b|| 4.0727110616995960e-06
349 MLA ||r(i)||/||b|| 4.0726996281176248e-06
350 MLA ||r(i)||/||b|| 4.0726483515635864e-06
351 MLA ||r(i)||/||b|| 4.0724356023948465e-06
352 MLA ||r(i)||/||b|| 4.0724261068141662e-06
353 MLA ||r(i)||/||b|| 4.0724276616970196e-06
354 MLA ||r(i)||/||b|| 4.0724180209787363e-06
355 MLA ||r(i)||/||b|| 4.0724278896093360e-06
356 MLA ||r(i)||/||b|| 4.0710804626296084e-06
357 MLA ||r(i)||/||b|| 4.0710817777741205e-06
358 MLA ||r(i)||/||b|| 4.0711205958717919e-06
359 MLA ||r(i)||/||b|| 4.0711175271098860e-06
360 MLA ||r(i)||/||b|| 4.0711233866529436e-06
361 MLA ||r(i)||/||b|| 4.0711691705504959e-06
362 MLA ||r(i)||/||b|| 4.0711672557677807e-06
363 MLA ||r(i)||/||b|| 4.0711680314928714e-06
364 MLA ||r(i)||/||b|| 4.0711700988165675e-06
365 MLA ||r(i)||/||b|| 4.0713085616402217e-06
366 MLA ||r(i)||/||b|| 4.0713633831009709e-06
367 MLA ||r(i)||/||b|| 4.0713125424929362e-06
368 MLA ||r(i)||/||b|| 4.0712875926404189e-06
369 MLA ||r(i)||/||b|| 4.0712807231965370e-06
370 MLA ||r(i)||/||b|| 4.0712949715331826e-06
371 MLA ||r(i)||/||b|| 4.0713045248135355e-06
372 MLA ||r(i)||/||b|| 4.0722444347026128e-06
373 MLA ||r(i)||/||b|| 4.0722754865125686e-06
374 MLA ||r(i)||/||b|| 4.0722756845873270e-06
375 MLA ||r(i)||/||b|| 4.0722412642404459e-06
376 MLA ||r(i)||/||b|| 4.0722334638618134e-06
377 MLA ||r(i)||/||b|| 4.0722334012623863e-06
378 MLA ||r(i)||/||b|| 4.0721400283114450e-06
379 MLA ||r(i)||/||b|| 4.0721375031426358e-06
380 MLA ||r(i)||/||b|| 4.0721347485230486e-06
381 MLA ||r(i)||/||b|| 4.0721392360317214e-06
382 MLA ||r(i)||/||b|| 4.0721370326381377e-06
383 MLA ||r(i)||/||b|| 4.0721382767945346e-06
384 MLA ||r(i)||/||b|| 4.0721371225413397e-06
385 MLA ||r(i)||/||b|| 4.0721365336523143e-06
386 MLA ||r(i)||/||b|| 4.0721363601403806e-06
