Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.84286 (s)
172 MLA ||r(i)||/||b|| 6.0104794963036104e+04
173 MLA ||r(i)||/||b|| 6.3615684574449377e+04
174 MLA ||r(i)||/||b|| 6.7342938956931248e+04
175 MLA ||r(i)||/||b|| 7.1299264408771065e+04
176 MLA ||r(i)||/||b|| 7.5498143437716732e+04
177 MLA ||r(i)||/||b|| 7.9953881155158408e+04
178 MLA ||r(i)||/||b|| 8.4681654395104415e+04
179 MLA ||r(i)||/||b|| 8.9697563735353702e+04
180 MLA ||r(i)||/||b|| 9.5018688606904543e+04
181 MLA ||r(i)||/||b|| 1.0066314568703284e+05
182 MLA ||r(i)||/||b|| 1.0665015078162332e+05
183 MLA ||r(i)||/||b|| 1.1300008441330545e+05
184 MLA ||r(i)||/||b|| 1.1973456134373757e+05
185 MLA ||r(i)||/||b|| 1.2687650427104119e+05
186 MLA ||r(i)||/||b|| 1.3445022195701915e+05
187 MLA ||r(i)||/||b|| 1.4248149205324656e+05
188 MLA ||r(i)||/||b|| 1.5099764891070509e+05
189 MLA ||r(i)||/||b|| 1.6002767667415485e+05
190 MLA ||r(i)||/||b|| 1.6960230798006081e+05
191 MLA ||r(i)||/||b|| 1.7975412859568579e+05
192 MLA ||r(i)||/||b|| 1.9051768835688167e+05
193 MLA ||r(i)||/||b|| 2.0192961878339355e+05
194 MLA ||r(i)||/||b|| 2.1402875777292001e+05
195 MLA ||r(i)||/||b|| 2.2685628179923876e+05
196 MLA ||r(i)||/||b|| 2.4045584606497744e+05
197 MLA ||r(i)||/||b|| 2.5487373308666647e+05
