Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.930815 (s)
245 MLA ||r(i)||/||b|| 4.9638781886039997e-08
246 MLA ||r(i)||/||b|| 4.6278048519193617e-08
247 MLA ||r(i)||/||b|| 4.3176539970677006e-08
248 MLA ||r(i)||/||b|| 4.0251241965577447e-08
249 MLA ||r(i)||/||b|| 3.7543049655300250e-08
250 MLA ||r(i)||/||b|| 3.5014511916096717e-08
251 MLA ||r(i)||/||b|| 3.2642119566228023e-08
252 MLA ||r(i)||/||b|| 3.0485324342655534e-08
253 MLA ||r(i)||/||b|| 2.8449686442761353e-08
254 MLA ||r(i)||/||b|| 2.6570205418104428e-08
255 MLA ||r(i)||/||b|| 2.4900737161587788e-08
256 MLA ||r(i)||/||b|| 2.3208107440608999e-08
257 MLA ||r(i)||/||b|| 2.1707510515067180e-08
258 MLA ||r(i)||/||b|| 2.0324020367468704e-08
259 MLA ||r(i)||/||b|| 1.9072223097447910e-08
260 MLA ||r(i)||/||b|| 1.7837660519245541e-08
261 MLA ||r(i)||/||b|| 1.6734976194090403e-08
262 MLA ||r(i)||/||b|| 1.5781956340540912e-08
263 MLA ||r(i)||/||b|| 1.4741833200169250e-08
264 MLA ||r(i)||/||b|| 1.3887477446705290e-08
265 MLA ||r(i)||/||b|| 1.3007565637782677e-08
266 MLA ||r(i)||/||b|| 1.2347496105103214e-08
267 MLA ||r(i)||/||b|| 1.1627445857411508e-08
268 MLA ||r(i)||/||b|| 1.1050311289042330e-08
269 MLA ||r(i)||/||b|| 1.0428694042879806e-08
270 MLA ||r(i)||/||b|| 9.8783014663249720e-09
>>>> mla solve time: 12.5728 (s)
>>>> ksp solve time: 0.149468 (s)
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 2.8848039306212900e+01
