Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.799056 (s)
386 MLA ||r(i)||/||b|| 7.0243841854369518e-06
387 MLA ||r(i)||/||b|| 6.7984349772239463e-06
388 MLA ||r(i)||/||b|| 6.5799371332862076e-06
389 MLA ||r(i)||/||b|| 6.3687919603608381e-06
390 MLA ||r(i)||/||b|| 6.1644173143642069e-06
391 MLA ||r(i)||/||b|| 5.9669459194943714e-06
392 MLA ||r(i)||/||b|| 5.7758639792665578e-06
393 MLA ||r(i)||/||b|| 5.5909200169549973e-06
394 MLA ||r(i)||/||b|| 5.4121520343212185e-06
395 MLA ||r(i)||/||b|| 5.2392370670811725e-06
396 MLA ||r(i)||/||b|| 5.0718920985887425e-06
397 MLA ||r(i)||/||b|| 4.9100475457132725e-06
398 MLA ||r(i)||/||b|| 4.7535068089883092e-06
399 MLA ||r(i)||/||b|| 4.6020847264434618e-06
400 MLA ||r(i)||/||b|| 4.4556849216147539e-06
401 MLA ||r(i)||/||b|| 4.3138321171777393e-06
402 MLA ||r(i)||/||b|| 4.1767542317392837e-06
403 MLA ||r(i)||/||b|| 4.0440698559214011e-06
404 MLA ||r(i)||/||b|| 3.9155983649013174e-06
405 MLA ||r(i)||/||b|| 3.7913940095250317e-06
406 MLA ||r(i)||/||b|| 3.6712755116518775e-06
407 MLA ||r(i)||/||b|| 3.5549672267480480e-06
408 MLA ||r(i)||/||b|| 3.4424330518783545e-06
409 MLA ||r(i)||/||b|| 3.3336182142845310e-06
410 MLA ||r(i)||/||b|| 3.2282947138169741e-06
411 MLA ||r(i)||/||b|| 3.1262990003972358e-06
412 MLA ||r(i)||/||b|| 3.0276036590842534e-06
413 MLA ||r(i)||/||b|| 2.9319977765241927e-06
414 MLA ||r(i)||/||b|| 2.8395804860412535e-06
415 MLA ||r(i)||/||b|| 2.7501199894060127e-06
416 MLA ||r(i)||/||b|| 2.6635480601916783e-06
417 MLA ||r(i)||/||b|| 2.5797432926553151e-06
418 MLA ||r(i)||/||b|| 2.4986016211225347e-06
419 MLA ||r(i)||/||b|| 2.4200899381162104e-06
420 MLA ||r(i)||/||b|| 2.3440128966824838e-06
421 MLA ||r(i)||/||b|| 2.2705092564583984e-06
422 MLA ||r(i)||/||b|| 2.1992502937616299e-06
423 MLA ||r(i)||/||b|| 2.1302819645845920e-06
424 MLA ||r(i)||/||b|| 2.0635815174427066e-06
425 MLA ||r(i)||/||b|| 1.9990275554458353e-06
